Date	Price	Open	High	Low	Vol.	Change %	MA7	MA21	EMA	High-Low	Price-Open
2020-02-07	9818.6	9771.9	9872.5	9738.7	608960.0	0.48	9487.057142857142	9060.880952380952	9306.130382689787	133.79999999999927	46.70000000000073
2020-02-08	9895.5	9817.3	9931.2	9673.2	551310.0	0.78	9560.471428571429	9107.509523809524	9384.71299833115	258.0	78.20000000000073
2020-02-09	10151.5	9895.4	10157.1	9882.7	617350.0	2.59	9677.128571428573	9176.333333333334	9486.95126522033	274.39999999999964	256.10000000000036
2020-02-10	9854.1	10151.5	10181.7	9774.8	781220.0	-2.93	9756.771428571428	9234.057142857142	9535.90442985762	406.90000000000146	-297.39999999999964
2020-02-11	10229.5	9854.0	10314.1	9725.1	791280.0	3.81	9904.714285714286	9305.338095238094	9628.383839209937	589.0	375.5
2020-02-12	10317.7	10229.3	10435.6	10229.3	803250.0	0.86	10005.557142857142	9383.395238095238	9720.292660648613	206.3000000000011	88.40000000000146
2020-02-13	10235.1	10321.9	10482.6	10116.9	940300.0	-0.8	10071.714285714286	9470.538095238097	9788.933639228799	365.7000000000007	-86.79999999999927
2020-02-14	10333.0	10235.5	10372.4	10125.2	732510.0	0.96	10145.2	9560.685714285713	9861.475820664959	247.1999999999989	97.5
2020-02-15	9907.7	10336.0	10369.8	9831.7	808810.0	-4.12	10146.942857142858	9635.261904761905	9867.639044576297	538.0999999999985	-428.2999999999993
2020-02-16	9932.3	9907.4	10056.4	9654.9	808910.0	0.25	10115.628571428573	9698.333333333334	9876.260505299459	401.5	24.899999999999636
2020-02-17	9701.4	9931.7	9951.5	9468.9	961880.0	-2.32	10093.814285714285	9738.085714285713	9852.94577125953	482.60000000000036	-230.3000000000011
2020-02-18	10158.4	9701.5	10230.1	9601.6	945910.0	4.71	10083.657142857142	9775.280952380952	9893.67300175826	628.5	456.89999999999964
2020-02-19	9609.4	10158.6	10230.9	9424.3	905950.0	-5.4	9982.471428571429	9790.066666666666	9855.769934857159	806.6000000000004	-549.2000000000007
2020-02-20	9602.4	9611.9	9681.4	9448.9	870800.0	-0.07	9892.085714285715	9794.595238095239	9821.987276876205	232.5	-9.5
2020-02-21	9684.5	9602.2	9747.1	9574.5	716610.0	0.85	9799.442857142858	9810.566666666668	9803.655639959377	172.60000000000036	82.29999999999927
2020-02-22	9655.7	9684.5	9706.5	9569.8	589880.0	-0.3	9763.442857142856	9823.619047619048	9783.928221298127	136.70000000000073	-28.799999999999272
2020-02-23	9942.7	9655.6	9965.6	9653.4	775880.0	2.97	9764.92857142857	9852.561904761906	9805.09779179171	312.2000000000007	287.10000000000036
2020-02-24	9662.7	9943.2	9981.0	9507.0	980000.0	-2.82	9759.4	9869.995238095238	9786.111419552815	474.0	-280.5
2020-02-25	9317.2	9662.6	9672.3	9269.8	937970.0	-3.57	9639.228571428572	9875.866666666667	9723.589896945774	402.5	-345.39999999999964
2020-02-26	8800.3	9317.1	9368.1	8672.0	1320000.0	-5.55	9523.642857142857	9837.223809523808	9600.484577353005	696.1000000000004	-516.8000000000011
2020-02-27	8818.6	8800.1	8968.3	8538.5	1130000.0	0.21	9411.67142857143	9791.823809523808	9496.233300372605	429.7999999999993	18.5
2020-02-28	8697.5	8820.1	8898.7	8451.9	1080000.0	-1.37	9270.67142857143	9738.438095238094	9389.735526989592	446.8000000000011	-122.60000000000036
2020-02-29	8543.7	8697.1	8793.7	8539.8	683440.0	-1.77	9111.814285714285	9674.066666666666	9276.930790057648	253.90000000000146	-153.39999999999964
2020-03-01	8540.0	8543.8	8737.2	8437.2	784050.0	-0.04	8911.42857142857	9597.32857142857	9178.673351383295	300.0	-3.7999999999992724
